Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
Order_No_27830,User_Id_640,Bike,3,Business,14,2,10:57:19 AM,14,2,10:58:46 AM,14,2,11:03:34 AM,14,2,11:10:08 AM,14,2,11:22:14 AM,5,21.3,,-1.304033,36.7848695,-1.2884997,36.8183895,Rider_Id_249,726
Order_No_18990,User_Id_750,Bike,1,Personal,10,5,5:28:31 PM,10,5,5:29:21 PM,10,5,5:57:26 PM,10,5,6:03:20 PM,10,5,6:16:20 PM,5,21.1,,-1.2876659,36.8179934,-1.3012895,36.8035556,Rider_Id_213,780
Order_No_15192,User_Id_2423,Bike,3,Business,11,1,12:54:17 PM,11,1,12:56:31 PM,11,1,1:04:32 PM,11,1,1:12:40 PM,11,1,1:31:55 PM,7,26.4,,-1.2551895,36.7822034,-1.285213,36.817885,Rider_Id_576,1155
Order_No_24160,User_Id_733,Bike,3,Business,31,4,1:21:23 PM,31,4,1:43:55 PM,31,4,1:58:27 PM,31,4,2:19:13 PM,31,4,2:58:13 PM,5,28.9,,-1.2571472,36.795063299999995,-1.2884243,36.820724799999994,Rider_Id_332,2340
Order_No_15310,User_Id_1527,Bike,3,Business,10,3,9:29:34 AM,10,3,9:30:11 AM,10,3,9:32:45 AM,10,3,9:40:54 AM,10,3,10:00:00 AM,9,21.9,,-1.2638185,36.7930057,-1.3004062,36.829741,Rider_Id_394,1146
Order_No_7478,User_Id_1796,Bike,3,Business,17,3,2:12:02 PM,17,3,2:12:18 PM,17,3,2:22:09 PM,17,3,2:37:59 PM,17,3,3:17:59 PM,17,,,-1.2296618000000001,36.84382720000001,-1.331619,36.847976,Rider_Id_8,2400
Order_No_21939,User_Id_1280,Bike,3,Business,13,4,9:07:55 AM,13,4,9:08:49 AM,13,4,9:23:45 AM,13,4,9:32:26 AM,13,4,9:38:24 AM,3,18.5,,-1.2551895,36.7822034,-1.2647688,36.775086,Rider_Id_310,358
Order_No_18968,User_Id_12,Bike,3,Business,23,4,10:09:05 AM,23,4,10:17:04 AM,23,4,10:32:49 AM,23,4,10:34:08 AM,23,4,11:05:13 AM,25,23.2,,-1.2400209999999998,36.849990000000005,-1.3724413,36.9284922,Rider_Id_8,1865
Order_No_5520,User_Id_2236,Bike,1,Personal,23,3,2:27:11 PM,23,3,2:50:12 PM,23,3,3:03:05 PM,23,3,3:06:44 PM,23,3,3:29:11 PM,8,22.2,,-1.3245486000000002,36.796141799999994,-1.283714,36.8212782,Rider_Id_79,1347
Order_No_5434,User_Id_1502,Bike,3,Business,29,1,9:01:26 AM,29,1,9:01:46 AM,29,1,9:15:48 AM,29,1,9:17:50 AM,29,1,9:41:25 AM,14,19.1,,-1.2566586000000002,36.792968200000004,-1.2232123,36.8932547,Rider_Id_854,1415
Order_No_18953,User_Id_1720,Bike,3,Personal,2,1,3:16:26 PM,2,1,3:22:20 PM,2,1,3:53:33 PM,2,1,3:57:17 PM,2,1,4:42:39 PM,15,19.9,,-1.2866269,36.82463679999999,-1.3203209999999999,36.7195522,Rider_Id_905,2722
Order_No_12990,User_Id_1578,Bike,3,Business,28,3,3:32:32 PM,28,3,5:49:25 PM,28,3,6:00:34 PM,28,3,6:12:10 PM,28,3,6:39:55 PM,10,23.0,,-1.225322,36.80855,-1.28878,36.8168312,Rider_Id_511,1665
Order_No_6472,User_Id_2828,Bike,3,Business,6,4,2:11:25 PM,6,4,2:11:36 PM,6,4,2:22:38 PM,6,4,2:48:35 PM,6,4,4:34:26 PM,24,,,-1.3623272,36.941084499999995,-1.2560822,36.820991799999994,Rider_Id_222,6351
Order_No_21582,User_Id_3651,Bike,3,Business,18,2,8:59:15 AM,18,2,9:01:49 AM,18,2,9:10:43 AM,18,2,9:18:09 AM,18,2,9:36:54 AM,6,16.5,,-1.2876324,36.8186574,-1.2571472,36.795063299999995,Rider_Id_857,1125
Order_No_11477,User_Id_3404,Bike,3,Business,3,6,2:41:08 PM,3,6,2:42:18 PM,3,6,2:49:36 PM,3,6,2:52:06 PM,3,6,3:25:33 PM,14,22.3,,-1.279395,36.825364,-1.3287857,36.9042514,Rider_Id_237,2007
Order_No_25330,User_Id_1342,Bike,3,Business,17,3,12:35:36 PM,17,3,12:39:51 PM,17,3,12:53:44 PM,17,3,1:01:19 PM,17,3,1:22:44 PM,10,25.6,,-1.2631940000000002,36.797624,-1.3025826,36.7670807,Rider_Id_937,1285
Order_No_25504,User_Id_2828,Bike,3,Business,27,3,3:50:22 PM,27,3,3:50:42 PM,27,3,4:08:50 PM,27,3,4:11:37 PM,27,3,5:21:56 PM,22,29.7,,-1.2615888000000002,36.7928732,-1.3981712,36.7673241,Rider_Id_147,4219
Order_No_17802,User_Id_496,Bike,3,Business,19,1,3:01:14 PM,19,1,3:11:19 PM,19,1,3:17:15 PM,19,1,3:22:48 PM,19,1,3:37:59 PM,6,25.0,,-1.2551895,36.7822034,-1.280753,36.8191175,Rider_Id_456,911
Order_No_25915,User_Id_440,Bike,1,Personal,5,5,6:42:19 PM,5,5,6:44:35 PM,5,5,6:59:26 PM,5,5,7:01:35 PM,5,5,7:23:43 PM,12,25.0,,-1.3222489,36.786702500000004,-1.2724885,36.785699900000004,Rider_Id_328,1328
Order_No_21746,User_Id_2854,Bike,3,Business,4,2,8:25:00 AM,4,2,8:27:12 AM,4,2,8:27:36 AM,4,2,8:44:06 AM,4,2,8:51:01 AM,1,16.1,82.9,-1.2963097,36.7688221,-1.2948781,36.7844523,Rider_Id_875,415
Order_No_696,User_Id_3222,Bike,3,Business,20,3,10:36:48 AM,20,3,10:37:08 AM,20,3,10:38:11 AM,20,3,10:42:31 AM,20,3,11:15:06 AM,5,27.1,,-1.2551895,36.7822034,-1.2731645,36.7900343,Rider_Id_579,1955
Order_No_9004,User_Id_867,Bike,3,Business,18,1,3:52:46 PM,18,1,3:53:44 PM,18,1,4:10:24 PM,18,1,4:29:29 PM,18,1,4:41:49 PM,11,30.9,,-1.2991441000000001,36.7528804,-1.2996533000000001,36.829262899999996,Rider_Id_327,740
Order_No_205,User_Id_1280,Bike,3,Business,3,5,3:33:53 PM,3,5,3:36:11 PM,3,5,3:46:37 PM,3,5,3:48:18 PM,3,5,4:19:10 PM,11,,,-1.2551895,36.7822034,-1.2639757,36.860282299999994,Rider_Id_553,1852
Order_No_2633,User_Id_2509,Bike,3,Business,25,1,3:10:02 PM,25,1,3:10:45 PM,25,1,3:39:08 PM,25,1,3:45:16 PM,25,1,4:05:24 PM,6,28.1,,-1.2571472,36.795063299999995,-1.2989287,36.81630820000001,Rider_Id_25,1208
Order_No_12946,User_Id_2828,Bike,3,Business,29,4,12:11:41 PM,29,4,12:13:05 PM,29,4,12:16:43 PM,29,4,12:20:20 PM,29,4,12:27:46 PM,3,21.7,,-1.2584143,36.8048002,-1.2615888000000002,36.7928732,Rider_Id_574,446
Order_No_1882,User_Id_2154,Bike,3,Business,28,3,1:17:58 PM,28,3,1:18:29 PM,28,3,1:27:43 PM,28,3,1:34:37 PM,28,3,2:09:27 PM,12,,,-1.303031,36.758577,-1.2765736,36.851364600000004,Rider_Id_675,2090
Order_No_1390,User_Id_478,Bike,3,Business,25,5,2:00:53 PM,25,5,2:04:56 PM,25,5,2:13:52 PM,25,5,2:15:04 PM,25,5,2:26:15 PM,5,23.5,,-1.2899658999999999,36.769412,-1.2973682,36.785987799999994,Rider_Id_334,671
Order_No_17661,User_Id_3091,Bike,3,Business,3,3,10:30:14 AM,3,3,10:31:04 AM,3,3,10:38:36 AM,3,3,11:06:56 AM,3,3,11:17:35 AM,7,27.2,,-1.290894,36.822971,-1.3117395,36.8592009,Rider_Id_61,639
Order_No_16795,User_Id_627,Bike,3,Business,12,5,12:04:07 PM,12,5,12:04:19 PM,12,5,12:04:27 PM,12,5,12:12:27 PM,12,5,12:27:07 PM,3,26.6,,-1.2551895,36.7822034,-1.2584505,36.807181,Rider_Id_349,880
Order_No_1285,User_Id_111,Bike,3,Business,6,4,1:35:31 PM,6,4,1:35:59 PM,6,4,1:39:33 PM,6,4,1:47:47 PM,6,4,2:18:23 PM,9,21.5,,-1.2551895,36.7822034,-1.3023756000000002,36.7949276,Rider_Id_676,1836
Order_No_10875,User_Id_3653,Bike,2,Personal,17,5,11:25:49 AM,17,5,11:26:23 AM,17,5,11:41:51 AM,17,5,11:47:17 AM,17,5,12:07:16 PM,6,17.6,,-1.2724556,36.7931938,-1.2934656999999998,36.8212737,Rider_Id_552,1199
Order_No_20601,User_Id_2701,Bike,3,Business,17,4,9:25:12 AM,17,4,9:37:48 AM,17,4,10:18:04 AM,17,4,10:24:28 AM,17,4,10:54:11 AM,12,,,-1.225322,36.80855,-1.2765736,36.851364600000004,Rider_Id_870,1783
Order_No_7782,User_Id_2653,Bike,1,Personal,26,3,12:04:31 PM,26,3,12:04:48 PM,26,3,12:16:20 PM,26,3,12:28:29 PM,26,3,12:51:59 PM,5,24.1,,-1.2867716999999999,36.773523700000005,-1.2985749,36.8088,Rider_Id_565,1410
Order_No_1576,User_Id_2297,Bike,2,Personal,16,6,3:00:40 PM,16,6,3:10:03 PM,16,6,3:19:09 PM,16,6,3:25:01 PM,16,6,3:41:56 PM,8,22.9,,-1.290724,36.81947,-1.2473038,36.788470700000005,Rider_Id_844,1015
Order_No_16022,User_Id_2423,Bike,3,Business,12,2,9:16:23 AM,12,2,9:16:33 AM,12,2,9:17:36 AM,12,2,9:26:53 AM,12,2,9:38:38 AM,4,17.9,,-1.2551895,36.7822034,-1.2753108999999998,36.8130185,Rider_Id_958,705
Order_No_1293,User_Id_599,Bike,1,Personal,18,3,3:58:59 PM,18,3,4:00:16 PM,18,3,4:08:13 PM,18,3,4:31:27 PM,18,3,5:02:29 PM,4,20.5,,-1.3005593,36.835929799999995,-1.3200277,36.8206816,Rider_Id_939,1862
Order_No_5728,User_Id_2066,Bike,3,Business,30,4,4:17:34 PM,30,4,4:17:41 PM,30,4,4:29:43 PM,30,4,4:31:15 PM,30,4,4:56:47 PM,9,20.9,,-1.316961,36.820337,-1.2940428999999998,36.756330299999995,Rider_Id_449,1532
Order_No_9950,User_Id_3050,Bike,3,Business,27,3,3:05:17 PM,27,3,3:07:33 PM,27,3,3:16:33 PM,27,3,3:24:08 PM,27,3,3:51:08 PM,10,29.3,,-1.2945073999999999,36.8083195,-1.3104733999999998,36.7363698,Rider_Id_801,1620
Order_No_24559,User_Id_1335,Bike,3,Personal,10,1,11:14:56 AM,10,1,11:15:40 AM,10,1,11:24:44 AM,10,1,11:27:08 AM,10,1,11:46:02 AM,5,,,-1.2611987,36.80609129999999,-1.2549476000000002,36.8269576,Rider_Id_622,1134
Order_No_21489,User_Id_2112,Bike,3,Business,8,2,2:35:15 PM,8,2,2:49:50 PM,8,2,3:11:15 PM,8,2,3:12:26 PM,8,2,4:06:41 PM,12,25.3,,-1.290894,36.822971,-1.2156006000000001,36.8916865,Rider_Id_687,3255
Order_No_15315,User_Id_2112,Bike,3,Business,10,1,3:40:13 PM,10,1,3:40:30 PM,10,1,3:47:35 PM,10,1,4:15:47 PM,10,1,5:17:29 PM,23,18.1,,-1.3472066,36.7692638,-1.2156006000000001,36.8916865,Rider_Id_123,3702
Order_No_24898,User_Id_186,Bike,3,Business,3,4,10:56:17 AM,3,4,11:48:16 AM,3,4,12:12:41 PM,3,4,12:18:19 PM,3,4,1:18:18 PM,24,22.1,,-1.3700383,36.9190174,-1.2579303999999998,36.8019667,Rider_Id_761,3599
Order_No_7304,User_Id_52,Bike,3,Personal,20,5,2:02:01 PM,20,5,2:02:41 PM,20,5,2:27:09 PM,20,5,2:31:35 PM,20,5,3:10:32 PM,9,20.5,,-1.2741347,36.834216299999994,-1.2963097,36.7688221,Rider_Id_398,2337
Order_No_20910,User_Id_3209,Bike,3,Personal,29,5,10:01:03 AM,29,5,10:02:32 AM,29,5,10:07:21 AM,29,5,10:18:36 AM,29,5,10:28:13 AM,1,21.0,,-1.2932155,36.7877116,-1.2977197,36.7861445,Rider_Id_119,577
Order_No_11245,User_Id_3283,Bike,3,Business,25,1,4:21:39 PM,25,1,4:21:58 PM,25,1,4:28:21 PM,25,1,4:42:42 PM,25,1,5:03:19 PM,5,28.3,,-1.2600926000000001,36.8088685,-1.2628473,36.781805,Rider_Id_118,1237
Order_No_2258,User_Id_393,Bike,3,Business,26,2,9:59:02 AM,26,2,10:00:06 AM,26,2,10:09:49 AM,26,2,10:26:22 AM,26,2,11:00:33 AM,14,21.9,,-1.3167113000000001,36.8301563,-1.2991441000000001,36.7528804,Rider_Id_126,2051
Order_No_20090,User_Id_1329,Bike,3,Business,6,3,11:32:57 AM,6,3,11:33:30 AM,6,3,11:37:28 AM,6,3,11:39:00 AM,6,3,11:53:48 AM,10,,,-1.273056,36.811298,-1.2698167999999999,36.7421898,Rider_Id_216,888
Order_No_1381,User_Id_1647,Bike,3,Business,27,6,3:47:26 PM,27,6,3:47:39 PM,27,6,3:55:08 PM,27,6,4:03:11 PM,27,6,4:25:08 PM,4,,,-1.2190317,36.8825092,-1.2238103,36.8772588,Rider_Id_291,1317
Order_No_17089,User_Id_2183,Bike,3,Business,28,2,8:58:31 AM,28,2,8:58:57 AM,28,2,8:59:38 AM,28,2,9:12:02 AM,28,2,9:29:37 AM,8,15.9,51.1,-1.2551895,36.7822034,-1.2939912,36.8161329,Rider_Id_726,1055
Order_No_28162,User_Id_598,Bike,2,Business,19,3,1:36:13 PM,19,3,1:36:46 PM,19,3,1:52:42 PM,19,3,2:47:28 PM,19,3,2:57:44 PM,2,25.8,,-1.2536797,36.7995085,-1.2655332000000001,36.8094648,Rider_Id_101,616
Order_No_47,User_Id_53,Bike,3,Business,7,2,9:20:38 AM,7,2,9:20:56 AM,7,2,9:30:19 AM,7,2,10:12:34 AM,7,2,10:29:53 AM,5,16.7,,-1.3004062,36.829741,-1.2770708,36.8231093,Rider_Id_208,1039
Order_No_9413,User_Id_3689,Bike,3,Business,29,6,12:08:56 PM,29,6,12:09:15 PM,29,6,12:15:45 PM,29,6,12:23:29 PM,29,6,12:35:01 PM,1,24.0,,-1.2584143,36.8048002,-1.2527958000000001,36.8003131,Rider_Id_477,692
Order_No_23832,User_Id_1205,Bike,3,Business,12,1,9:52:58 AM,12,1,10:12:49 AM,12,1,10:19:19 AM,12,1,10:23:32 AM,12,1,10:41:28 AM,8,19.2,0.5,-1.257309,36.806008399999996,-1.2902738,36.776594200000005,Rider_Id_829,1076
Order_No_20729,User_Id_2521,Bike,3,Business,26,6,11:42:01 AM,26,6,11:43:28 AM,26,6,11:59:00 AM,26,6,12:01:13 PM,26,6,12:32:28 PM,14,25.8,,-1.3167113000000001,36.8301563,-1.306378,36.7519845,Rider_Id_523,1875
Order_No_25290,User_Id_2008,Bike,3,Business,2,2,2:10:51 PM,2,2,2:12:55 PM,2,2,2:19:35 PM,2,2,2:23:24 PM,2,2,2:51:22 PM,7,29.6,,-1.2508229,36.7895263,-1.2902539,36.8211322,Rider_Id_858,1678
Order_No_5322,User_Id_1927,Bike,3,Business,23,4,2:18:04 PM,23,4,2:18:19 PM,23,4,2:27:44 PM,23,4,2:31:13 PM,23,4,3:08:47 PM,25,20.6,,-1.2232123,36.8932547,-1.3472066,36.7692638,Rider_Id_754,2254
Order_No_22471,User_Id_704,Bike,3,Business,26,2,12:23:57 PM,26,2,12:55:02 PM,26,2,1:02:26 PM,26,2,1:27:41 PM,26,2,2:01:43 PM,20,,,-1.3404187,36.7614685,-1.2860183,36.8975338,Rider_Id_636,2042
Order_No_26924,User_Id_948,Bike,3,Business,10,1,10:51:53 AM,10,1,10:52:21 AM,10,1,10:54:57 AM,10,1,10:59:20 AM,10,1,11:23:52 AM,7,18.6,,-1.2936611,36.8260953,-1.2594473999999998,36.8089122,Rider_Id_247,1472
Order_No_16820,User_Id_1368,Bike,3,Business,30,2,10:56:42 AM,30,2,11:03:23 AM,30,2,11:24:28 AM,30,2,11:38:04 AM,30,2,12:15:06 PM,13,,,-1.2571472,36.795063299999995,-1.302453,36.8668919,Rider_Id_155,2222
Order_No_9138,User_Id_3283,Bike,3,Business,16,4,10:35:54 AM,16,4,10:36:30 AM,16,4,11:00:30 AM,16,4,11:14:38 AM,16,4,11:26:02 AM,6,,,-1.2663631000000002,36.8163329,-1.2628473,36.781805,Rider_Id_712,684
Order_No_16746,User_Id_633,Bike,3,Business,22,2,12:09:01 PM,22,2,12:40:38 PM,22,2,12:41:18 PM,22,2,12:57:20 PM,22,2,1:22:28 PM,9,24.2,,-1.2574219,36.7927073,-1.3004062,36.829741,Rider_Id_445,1508
Order_No_3661,User_Id_1899,Bike,3,Business,26,4,9:21:27 AM,26,4,9:21:52 AM,26,4,9:36:21 AM,26,4,9:39:41 AM,26,4,9:48:16 AM,6,15.4,,-1.318062,36.849326,-1.331619,36.847976,Rider_Id_726,515
Order_No_16437,User_Id_393,Bike,3,Business,8,1,2:09:41 PM,8,1,2:09:46 PM,8,1,2:09:52 PM,8,1,2:24:20 PM,8,1,2:51:10 PM,14,29.8,,-1.3167113000000001,36.8301563,-1.2991441000000001,36.7528804,Rider_Id_349,1610
Order_No_13282,User_Id_867,Bike,3,Business,15,4,9:10:02 AM,15,4,9:18:21 AM,15,4,9:33:35 AM,15,4,9:48:47 AM,15,4,10:19:07 AM,10,19.8,,-1.2996533000000001,36.829262899999996,-1.306378,36.7519845,Rider_Id_532,1820
Order_No_27006,User_Id_401,Bike,1,Personal,12,5,10:59:30 AM,12,5,11:05:37 AM,12,5,11:27:37 AM,12,5,11:30:35 AM,12,5,11:53:52 AM,7,24.4,,-1.2844858000000001,36.79558839999999,-1.2628638,36.8070399,Rider_Id_532,1397
Order_No_5894,User_Id_3013,Bike,3,Personal,18,6,10:05:30 AM,18,6,10:05:39 AM,18,6,10:41:17 AM,18,6,11:05:10 AM,18,6,12:03:11 PM,26,19.2,,-1.2850643999999998,36.8343657,-1.3510653000000001,36.6665115,Rider_Id_208,3481
Order_No_878,User_Id_3291,Bike,3,Business,19,2,12:30:47 PM,19,2,12:31:36 PM,19,2,12:36:18 PM,19,2,12:50:05 PM,19,2,12:57:04 PM,5,27.6,,-1.2628473,36.781805,-1.2600926000000001,36.8088685,Rider_Id_147,419
Order_No_27655,User_Id_3688,Bike,3,Business,4,2,3:13:56 PM,4,2,3:15:46 PM,4,2,3:15:58 PM,4,2,3:27:20 PM,4,2,3:43:07 PM,5,20.2,,-1.2551895,36.7822034,-1.2668454,36.79406420000001,Rider_Id_350,947
Order_No_9858,User_Id_1515,Bike,1,Personal,15,2,9:00:45 AM,15,2,9:01:33 AM,15,2,9:18:56 AM,15,2,9:23:04 AM,15,2,9:50:44 AM,12,17.9,1.9,-1.2934527,36.7755139,-1.3255286,36.7835132,Rider_Id_202,1660
Order_No_11116,User_Id_2828,Bike,3,Business,16,6,6:04:16 PM,16,6,6:04:28 PM,16,6,6:12:45 PM,16,6,6:27:25 PM,16,6,6:50:23 PM,17,23.8,,-1.2615888000000002,36.7928732,-1.2333156,36.896378399999996,Rider_Id_103,1378
Order_No_2436,User_Id_2801,Bike,3,Business,22,5,2:51:08 PM,22,5,2:51:58 PM,22,5,3:05:28 PM,22,5,3:15:34 PM,22,5,3:43:24 PM,12,27.1,,-1.3108386,36.7555239,-1.2674273999999999,36.787082700000006,Rider_Id_708,1670
Order_No_3815,User_Id_3547,Bike,3,Business,8,2,11:27:06 AM,8,2,11:28:08 AM,8,2,11:40:15 AM,8,2,11:41:46 AM,8,2,12:22:29 PM,17,23.2,,-1.2856319,36.767299799999996,-1.3194518,36.869396,Rider_Id_958,2443
Order_No_12545,User_Id_661,Bike,3,Business,22,2,3:21:16 PM,22,2,3:21:49 PM,22,2,3:33:16 PM,22,2,3:48:44 PM,22,2,4:03:26 PM,4,21.5,,-1.2950044,36.7512209,-1.2963097,36.7688221,Rider_Id_329,882
Order_No_5867,User_Id_3434,Bike,3,Business,10,1,3:51:27 PM,10,1,4:06:47 PM,10,1,4:29:42 PM,10,1,4:45:21 PM,10,1,5:59:26 PM,29,18.9,,-1.1612808000000001,36.9563278,-1.2963097,36.7688221,Rider_Id_520,4445
Order_No_2588,User_Id_3291,Bike,3,Business,1,5,2:52:07 PM,1,5,2:53:37 PM,1,5,2:59:39 PM,1,5,3:10:17 PM,1,5,3:24:41 PM,5,31.9,,-1.2628473,36.781805,-1.2600926000000001,36.8088685,Rider_Id_663,864
Order_No_1473,User_Id_3647,Bike,3,Business,4,2,5:18:51 PM,4,2,5:19:21 PM,4,2,5:28:03 PM,4,2,5:34:17 PM,4,2,5:38:25 PM,2,22.2,,-1.2726389999999999,36.794723,-1.2741728,36.79691079999999,Rider_Id_486,248
Order_No_24766,User_Id_346,Bike,3,Business,17,4,9:50:58 AM,17,4,9:51:54 AM,17,4,10:03:03 AM,17,4,10:05:36 AM,17,4,10:21:15 AM,5,,,-1.28878,36.8168312,-1.2584143,36.8048002,Rider_Id_41,939
Order_No_11918,User_Id_795,Bike,3,Personal,17,2,2:18:02 PM,17,2,2:21:11 PM,17,2,2:24:23 PM,17,2,2:27:21 PM,17,2,3:37:17 PM,11,24.3,,-1.3104733999999998,36.7363698,-1.2551895,36.7822034,Rider_Id_735,4196
Order_No_25194,User_Id_1687,Bike,3,Business,4,4,8:42:19 AM,4,4,8:42:41 AM,4,4,8:59:05 AM,4,4,9:02:29 AM,4,4,9:12:58 AM,4,18.5,,-1.2890333,36.8234839,-1.2896933000000002,36.792903499999994,Rider_Id_88,629
Order_No_4641,User_Id_2579,Bike,3,Business,9,3,10:02:44 AM,9,3,10:12:05 AM,9,3,10:19:31 AM,9,3,10:28:14 AM,9,3,10:45:08 AM,10,17.8,0.6,-1.2536855,36.8245276,-1.287428,36.7800821,Rider_Id_207,1014
Order_No_5761,User_Id_2006,Bike,3,Business,1,4,9:25:10 AM,1,4,9:25:28 AM,1,4,9:49:50 AM,1,4,9:58:10 AM,1,4,11:11:25 AM,16,,,-1.2469508,36.824448499999995,-1.3231725,36.864017700000005,Rider_Id_89,4395
Order_No_4245,User_Id_1500,Bike,3,Business,9,2,8:42:20 AM,9,2,8:42:50 AM,9,2,9:01:15 AM,9,2,9:34:32 AM,9,2,9:41:44 AM,4,21.0,,-1.3077869,36.844320700000004,-1.3004062,36.829741,Rider_Id_43,432
Order_No_26947,User_Id_1072,Bike,1,Personal,25,1,4:17:12 PM,25,1,4:20:52 PM,25,1,4:26:10 PM,25,1,4:28:32 PM,25,1,4:45:39 PM,8,,,-1.261849,36.808254,-1.2337192,36.814119299999994,Rider_Id_427,1027
Order_No_3388,User_Id_2154,Bike,3,Business,24,1,1:56:38 PM,24,1,1:56:43 PM,24,1,2:03:52 PM,24,1,2:15:29 PM,24,1,2:35:03 PM,6,24.9,,-1.2859912,36.8756811,-1.2765736,36.851364600000004,Rider_Id_26,1174
Order_No_15034,User_Id_2756,Bike,3,Business,17,3,3:17:02 PM,17,3,3:26:29 PM,17,3,3:35:32 PM,17,3,3:36:47 PM,17,3,4:05:24 PM,6,,,-1.2814609,36.826593200000005,-1.2879691,36.7803495,Rider_Id_790,1717
